Country,ActorName,ActorType,AffiliationTo,AffiliationStartDate,AffiliationEndDate,Aliases
Afghanistan,Abdol Hadi Arghandiwal,Individual,Finance / Economy / Commerce / Trade Ministry (Afghanistan),BOT,EOT,Abdol Hadi Arghandiwal ; Abdul Hadi Arghandiwal
Afghanistan,Abdol Hadi Arghandiwal,Individual,Government (Afghanistan),BOT,EOT,Abdol Hadi Arghandiwal ; Abdul Hadi Arghandiwal
Afghanistan,Abdul Bagi Baryal,Individual,House of the People,12/7/05,EOT,Abdul Bagi Baryal ; Abdul Baryal
Afghanistan,Abdul Bagi Baryal,Individual,Pashtun,BOT,EOT,Abdul Bagi Baryal ; Abdul Baryal
Afghanistan,Abdul Basir Salangi,Individual,Jamiat-e Islami,BOT,EOT,Abdul Basir Salangi ; General Basir Salangi ; Abdul Salangi ; Basir Salangi
Afghanistan,Abdul Basir Salangi,Individual,Parwan Province,1/1/07,12/31/08,Abdul Basir Salangi ; General Basir Salangi ; Abdul Salangi ; Basir Salangi
Afghanistan,Abdul Basir Salangi,Individual,Parwan Province,1/1/09,EOT,Abdul Basir Salangi ; General Basir Salangi ; Abdul Salangi ; Basir Salangi
Afghanistan,Abdul Basir Salangi,Individual,Provincial Divisions (Afghanistan),1/1/03,12/31/05,Abdul Basir Salangi ; General Basir Salangi ; Abdul Salangi ; Basir Salangi
Afghanistan,Abdul Ghafor Zori,Individual,(National) Minor Party (Afghanistan),1/1/04,EOT,Abdul Ghafor Zori ; Abdul Zori
Afghanistan,Abdul Ghafor Zori,Individual,Human Rights NGOs (Afghanistan),1/1/96,10/6/01,Abdul Ghafor Zori ; Abdul Zori
Afghanistan,Abdul Ghafor Zori,Individual,Nimroz Province,10/7/01,12/12/03,Abdul Ghafor Zori ; Abdul Zori
Afghanistan,Abdul Ghani Baradar,Individual,Quetta Shura,BOT,EOT,Mullah Brother ; Baradar Akhund ; Abdul Baradar ; Mullah Baradar ; Abdul Ghani Baradar
Afghanistan,Abdul Hakim Mujahid,Individual,Taliban,BOT,EOT,Abdul Mujahid ; Abdul Hakim Mujahid
Afghanistan,Abdul Haq Shafaq,Individual,Faryab Province,11/30/07,EOT,Abdul Shafaq ; Abdul Haq Shafaq
Afghanistan,Abdul Haq Shafaq,Individual,Samangan Province,6/1/06,11/29/07,Abdul Shafaq ; Abdul Haq Shafaq
Afghanistan,Abdul Haq Shafaq,Individual,Sar-e Pol Province,1/1/04,5/31/06,Abdul Shafaq ; Abdul Haq Shafaq
Afghanistan,Abdul Jabbar Taqwa,Individual,Takhar Province,3/16/10,EOT,Abdul Taqwa ; Abdul Jabbar Taqwa
Afghanistan,Abdul Latif Hakimi,Individual,Taliban,BOT,EOT,Hakim Latifi ; Latif Hakimi ; Abdul Latif Hakimi ; Hakimi ; Abdul Hakimi
Afghanistan,Abdul Latif Ibrahimi,Individual,Faryab Province,1/1/04,12/31/05,Abdul Latif Ibrahimi ; Abdul Ibrahimi
Afghanistan,Abdul Latif Ibrahimi,Individual,Kunduz Province,1/1/02,12/31/03,Abdul Latif Ibrahimi ; Abdul Ibrahimi
Afghanistan,Abdul Latif Ibrahimi,Individual,Takhar Province,10/13/09,3/18/10,Abdul Latif Ibrahimi ; Abdul Ibrahimi
